GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
XML Library Demo,nl.koop.xmldemo.controller,XmlDemoController,138,55,22,6,26,16,17,7,2,5
XML Library Demo,nl.koop.xmldemo.model,Lid,14,3,0,0,6,1,4,1,4,1
XML Library Demo,nl.koop.xmldemo.model,Wet,18,6,0,0,8,2,5,2,5,2
XML Library Demo,nl.koop.xmldemo.model,Artikel,15,9,0,0,7,3,4,3,4,3
XML Library Demo,nl.koop.xmldemo.model,Hoofdstuk,18,6,0,0,8,2,5,2,5,2
XML Library Demo,nl.koop.xmldemo.model,Metadata,14,3,0,0,6,1,4,1,4,1
XML Library Demo,nl.koop.xmldemo,XmlLibraryDemoApplication,17,3,0,0,6,1,1,1,1,1
XML Library Demo,nl.koop.xmldemo.dto,TransformResult,54,0,0,0,23,0,13,0,13,0
XML Library Demo,nl.koop.xmldemo.dto,ParseResult,0,72,0,0,0,29,0,16,0,16
XML Library Demo,nl.koop.xmldemo.dto,ComparisonResult,0,132,0,8,0,35,0,14,0,10
XML Library Demo,nl.koop.xmldemo.service,StAXParserService,0,108,0,10,0,31,0,7,0,2
XML Library Demo,nl.koop.xmldemo.service,DOMParserService,1,108,1,3,0,25,1,3,0,2
XML Library Demo,nl.koop.xmldemo.service,SAXParserService,0,73,0,0,0,19,0,2,0,2
XML Library Demo,nl.koop.xmldemo.service,JAXBParserService,0,115,1,9,0,27,1,6,0,2
XML Library Demo,nl.koop.xmldemo.service,XmlComparisonService,3,254,0,6,0,61,0,7,0,4
XML Library Demo,nl.koop.xmldemo.service,XSLTTransformationService,337,8,2,0,83,3,6,3,5,3
XML Library Demo,nl.koop.xmldemo.service,SAXParserService.ArtikelHandler,0,91,0,10,0,23,0,11,0,6
